0: output to I.dmc.o
374: Timestep is 1.15515625
2013: Timestep is 1.15515625
128: Timestep is 1.15515625
1741: Timestep is 1.15515625
1461: Timestep is 1.15515625
2014: Timestep is 1.15515625
918: Timestep is 1.15515625
129: Timestep is 1.15515625
1191: Timestep is 1.15515625
1742: Timestep is 1.15515625
659: Timestep is 1.15515625
1462: Timestep is 1.15515625
375: Timestep is 1.15515625
2015: Timestep is 1.15515625
130: Timestep is 1.15515625
1192: Timestep is 1.15515625
660: Timestep is 1.15515625
376: Timestep is 1.15515625
919: Timestep is 1.15515625
1193: Timestep is 1.15515625
661: Timestep is 1.15515625
920: Timestep is 1.15515625
1194: Timestep is 1.15515625
662: Timestep is 1.15515625
377: Timestep is 1.15515625
921: Timestep is 1.15515625
1195: Timestep is 1.15515625
663: Timestep is 1.15515625
1463: Timestep is 1.15515625
132: Timestep is 1.15515625
1196: Timestep is 1.15515625
1743: Timestep is 1.15515625
665: Timestep is 1.15515625
378: Timestep is 1.15515625
2016: Timestep is 1.15515625
922: Timestep is 1.15515625
133: Timestep is 1.15515625
1197: Timestep is 1.15515625
1744: Timestep is 1.15515625
666: Timestep is 1.15515625
1464: Timestep is 1.15515625
379: Timestep is 1.15515625
2017: Timestep is 1.15515625
134: Timestep is 1.15515625
1745: Timestep is 1.15515625
1465: Timestep is 1.15515625
380: Timestep is 1.15515625
2018: Timestep is 1.15515625
923: Timestep is 1.15515625
135: Timestep is 1.15515625
1746: Timestep is 1.15515625
1466: Timestep is 1.15515625
2021: Timestep is 1.15515625
924: Timestep is 1.15515625
1747: Timestep is 1.15515625
1467: Timestep is 1.15515625
2022: Timestep is 1.15515625
136: Timestep is 1.15515625
1198: Timestep is 1.15515625
1748: Timestep is 1.15515625
667: Timestep is 1.15515625
1468: Timestep is 1.15515625
381: Timestep is 1.15515625
2023: Timestep is 1.15515625
925: Timestep is 1.15515625
137: Timestep is 1.15515625
1199: Timestep is 1.15515625
1749: Timestep is 1.15515625
669: Timestep is 1.15515625
1469: Timestep is 1.15515625
382: Timestep is 1.15515625
2024: Timestep is 1.15515625
1200: Timestep is 1.15515625
670: Timestep is 1.15515625
383: Timestep is 1.15515625
926: Timestep is 1.15515625
1201: Timestep is 1.15515625
671: Timestep is 1.15515625
927: Timestep is 1.15515625
384: Timestep is 1.15515625
928: Timestep is 1.15515625
138: Timestep is 1.15515625
1202: Timestep is 1.15515625
1750: Timestep is 1.15515625
673: Timestep is 1.15515625
1470: Timestep is 1.15515625
385: Timestep is 1.15515625
2025: Timestep is 1.15515625
139: Timestep is 1.15515625
1751: Timestep is 1.15515625
674: Timestep is 1.15515625
1471: Timestep is 1.15515625
386: Timestep is 1.15515625
929: Timestep is 1.15515625
140: Timestep is 1.15515625
1203: Timestep is 1.15515625
1752: Timestep is 1.15515625
675: Timestep is 1.15515625
1472: Timestep is 1.15515625
387: Timestep is 1.15515625
2026: Timestep is 1.15515625
930: Timestep is 1.15515625
141: Timestep is 1.15515625
1753: Timestep is 1.15515625
1473: Timestep is 1.15515625
2027: Timestep is 1.15515625
142: Timestep is 1.15515625
1754: Timestep is 1.15515625
1474: Timestep is 1.15515625
2028: Timestep is 1.15515625
931: Timestep is 1.15515625
143: Timestep is 1.15515625
1204: Timestep is 1.15515625
1755: Timestep is 1.15515625
676: Timestep is 1.15515625
1475: Timestep is 1.15515625
388: Timestep is 1.15515625
2029: Timestep is 1.15515625
1205: Timestep is 1.15515625
677: Timestep is 1.15515625
2030: Timestep is 1.15515625
932: Timestep is 1.15515625
1206: Timestep is 1.15515625
678: Timestep is 1.15515625
389: Timestep is 1.15515625
933: Timestep is 1.15515625
1207: Timestep is 1.15515625
679: Timestep is 1.15515625
390: Timestep is 1.15515625
934: Timestep is 1.15515625
1208: Timestep is 1.15515625
1756: Timestep is 1.15515625
935: Timestep is 1.15515625
144: Timestep is 1.15515625
1476: Timestep is 1.15515625
391: Timestep is 1.15515625
145: Timestep is 1.15515625
1757: Timestep is 1.15515625
680: Timestep is 1.15515625
1477: Timestep is 1.15515625
2031: Timestep is 1.15515625
936: Timestep is 1.15515625
146: Timestep is 1.15515625
1758: Timestep is 1.15515625
681: Timestep is 1.15515625
1478: Timestep is 1.15515625
392: Timestep is 1.15515625
2032: Timestep is 1.15515625
147: Timestep is 1.15515625
1759: Timestep is 1.15515625
1479: Timestep is 1.15515625
2033: Timestep is 1.15515625
937: Timestep is 1.15515625
148: Timestep is 1.15515625
